x1,x2,x3
0.856055631,0.277769973,0.152324805
0.618375038,0.52118947,0.786820793
0.264025418,0.369098182,0.029401676
0.501568621,0.674020241,0.761819943
0.946290639,0.612287901,0.468844078
0.972757454,0.287733502,0.928342353
0.384969095,0.813943697,0.832209309
0.340902373,0.304957452,0.70972727
0.688579677,0.031775279,0.356613475
0.205307119,0.371050612,0.071438002
0.010761302,0.120036566,0.034777112
0.003135755,0.030168253,0.330190225
0.168150864,0.352403517,0.570206864
0.136695331,0.815736431,0.520134203
0.623879993,0.218266847,0.712383952
0.609527642,0.913531974,0.948604719
0.948938553,0.47047401,0.43341007
0.087513032,0.277138149,0.008494405
0.606175003,0.772346787,0.408457925
0.089325332,0.283929625,0.155866678
0.579971813,0.550631444,0.978674057
0.528364696,0.107388168,0.019742058
0.042588361,0.526677421,0.535275644
0.730491958,0.408985294,0.19806944
0.649247673,0.820015808,0.320018355
0.87229288,0.464758096,0.804377913
0.019026074,0.068254556,0.445366663
0.35034284,0.306580749,0.582744716
0.840285412,0.458478416,0.46684778
0.428630622,0.616839948,0.531108934
0.617831328,0.588260418,0.601877873
0.420722362,0.939675571,0.036175079
0.784795814,0.068446891,0.98736915
0.964241869,0.880421315,0.557976392
0.069701353,0.857880025,0.658499231
0.059651557,0.02963873,0.589115599
0.09876976,0.250741258,0.480767963
0.97877524,0.09169468,0.182319053
0.783189389,0.462104,0.977807561
0.120769295,0.2718239,0.45882151
0.977840451,0.09962719,0.595972162
0.257786727,0.332537283,0.871728952
0.296770401,0.160090813,0.645768426
0.231256576,0.376711787,0.665890888
0.166546769,0.442909485,0.773498385
0.212705297,0.723162813,0.71294144
0.685618627,0.489558956,0.293687483
0.468692595,0.346679949,0.665839321
0.928266881,0.218613448,0.861319141
0.213536286,0.299246138,0.449915835
0.312182633,0.253672114,0.117940455
0.668855243,0.980051634,0.964528451
0.372601984,0.071207003,0.897902369
0.842536265,0.065521929,0.170521309
0.555320107,0.89682992,0.343856295
0.406918221,0.393865335,0.949042505
0.8354239,0.985999604,0.117880096
0.233750319,0.457433898,0.692632161
0.337958355,0.230559251,0.724078916
0.814413164,0.523364543,0.026408915
0.024812553,0.80810374,0.515024364
0.528667292,0.721227323,0.491899479
0.209265159,0.016239885,0.876407134
0.409445812,0.162342178,0.880588297
0.875697538,0.334181665,0.365278239
0.285231871,0.085806363,0.750043989
0.577171564,0.901311145,0.252747056
0.357074247,0.975278719,0.639026953
0.687350954,0.357928856,0.785072928
0.14596344,0.257826553,0.389770383
0.638952013,0.968228803,0.682081418
0.772852927,0.758946032,0.905627581
0.541149857,0.403578233,0.502984697
0.509307994,0.100330279,0.442697421
0.51595779,0.935174369,0.536227376
0.933722486,0.123207406,0.125616995
0.449740206,0.564690567,0.562177925
0.426757236,0.803023003,0.16550362
0.26519127,0.770612657,0.306015285
0.361628722,0.321661658,0.743810069
0.599463337,0.178697653,0.494513652
0.345327816,0.77224581,0.7253395
0.812542036,0.815234262,0.447433293
0.129009362,0.517931762,0.025294197
0.121660284,0.130396106,0.003482736
0.558408883,0.451778901,0.304172208
0.438474873,0.11195881,0.787676315
0.095789454,0.667202574,0.716226695
0.999764969,0.886055502,0.243398354
0.896837183,0.989299194,0.629130607
0.205318077,0.570354501,0.352309429
0.667103775,0.363499157,0.46596448
0.779821436,0.09089218,0.086201661
0.340811695,0.560068809,0.510759778
0.595497004,0.212660047,0.002894287
0.046926058,0.476114922,0.912708412
0.453493332,0.982807575,0.231702657
0.40561373,0.939613561,0.538918391
0.798887893,0.983251805,0.829138912
0.890771109,0.40988808,0.13325335
0.731335622,0.822956171,0.757067901
0.353880331,0.151990303,0.300644178
0.254487857,0.620772419,0.921132062
0.283627871,0.073736122,0.05443012
0.204999745,0.76693314,0.547775213
0.895114908,0.27434451,0.847129531
0.115155539,0.520770232,0.289031531
0.426523713,0.638512838,0.956619272
0.471706964,0.147137696,0.889425622
0.108685665,0.719252835,0.728866421
0.228394321,0.204441428,0.850290401
0.876781409,0.566795687,0.513919363
0.47001336,0.348215849,0.0555328
0.714491671,0.289611513,0.014332676
0.51661071,0.920521626,0.366078472
0.252212224,0.930550477,0.400370947
0.583497015,0.14578003,0.339555837
0.438319721,0.526914901,0.813510006
0.925608042,0.243548401,0.823841806
0.857366193,0.879852269,0.662113329
0.820621425,0.727515859,0.577786146
0.775243981,0.874924943,0.119064885
0.339285427,0.327655476,0.067094307
0.292729675,0.005416361,0.971070004
0.157052346,0.553681669,0.748830024
0.61576738,0.142854779,0.673362374
0.431617285,0.463571499,0.921098248
0.985073495,0.275979385,0.599983267
0.553313708,0.222563645,0.577383812
0.302968084,0.363943753,0.17311064
0.472989258,0.238895426,0.77664112
0.795885702,0.252550314,0.390100033
0.009955625,0.598948461,0.259378128
0.136613071,0.400163821,0.881714994
0.194011302,0.553400341,0.055745455
0.48021701,0.920724853,0.239582455
0.152188458,0.401184091,0.724959083
0.178931786,0.761295134,0.416274672
0.758088012,0.776829795,0.729072044
0.192331532,0.382407081,0.719527425
0.721363288,0.618234614,0.843551491
0.327059733,0.784546145,0.860241252
0.573690768,0.93709417,0.132803746
0.068588047,0.338827711,0.446849779
0.132306516,0.653373289,0.182590355
0.490412552,0.23859385,0.093049271
0.910424305,0.785157353,0.050090943
0.164979935,0.160985581,0.806920137
0.445956985,0.611918158,0.218144481
0.62304464,0.319261146,0.352494491
0.229757461,0.362335711,0.630648944
0.414917245,0.38603766,0.001377042
0.737849384,0.060156842,0.430517884
0.280029691,0.614868245,0.700970971
0.362670621,0.704488114,0.479622408
0.406050204,0.447954544,0.022055013
0.430084957,0.689062699,0.39669471
0.186053336,0.224374707,0.361232827
0.680470819,0.301131782,0.683225861
0.878816835,0.180702567,0.003454721
0.573870696,0.175378794,0.750082546
0.937297456,0.727107765,0.105639114
0.351128243,0.237089409,0.034739418
0.271482869,0.638396245,0.427730049
0.372307339,0.484824292,0.261113541
0.512225642,0.302597144,0.833400514
0.194307798,0.306767135,0.600385246
0.950000078,0.607919612,0.441637954
0.812270293,0.103594272,0.115972162
0.835521212,0.693780662,0.467633418
0.434714858,0.77902836,0.120153101
0.384541136,0.687449948,0.64393217
0.732577081,0.948861814,0.411240489
0.518187485,0.655094213,0.49931537
0.263690475,0.987390349,0.172099152
0.568973165,0.140580548,0.663434127
0.940201786,0.934913199,0.069913554
0.550629743,0.918671002,0.405679903
0.492953915,0.796820716,0.496906557
0.248009033,0.659826732,0.543386598
0.717042803,0.900011939,0.488370518
0.380810741,0.491712785,0.39640218
0.730952244,0.429810816,0.838451221
0.09193364,0.0510711,0.221557131
0.106862156,0.370955183,0.841972224
0.215255945,0.289239395,0.17724518
0.285016558,0.583747528,0.269386506
0.534214431,0.746111048,0.068370402
0.932574578,0.878723497,0.455280255
0.033723039,0.088148239,0.155879182
0.682681455,0.016987107,0.676822689
0.012845142,0.979760718,0.252735255
0.160677274,0.810105077,0.940373882
0.16698218,0.998327585,0.171247979
0.78043681,0.591612687,0.804934222
0.156191738,0.405933209,0.980311065
0.562553086,0.26299229,0.395897042
0.906912428,0.592134263,0.132388295
0.564930071,0.703086356,0.004542493
0.755122379,0.507383932,0.307372271
0.382641234,0.064213701,0.274090509
0.902927428,0.995463133,0.16764426
0.058661263,0.318110267,0.787957984
0.473568999,0.596734312,0.683286052
0.557788256,0.366834427,0.278583432
0.006442907,0.903131705,0.698631343
0.013559875,0.219996352,0.107300727
0.90150034,0.808697609,0.402918162
0.546494671,0.673338068,0.311985753
0.412420573,0.984163293,0.58758081
0.638892881,0.440090749,0.518758823
0.239631732,0.148747027,0.194580245
0.542755467,0.677483874,0.688338752
0.050675696,0.736791417,0.529815957
0.729646751,0.126960382,0.946684637
0.664266945,0.16280301,0.235949459
0.892902897,0.424949028,0.837092341
0.20138552,0.169892542,0.387477512
0.850656363,0.926907765,0.906071839
0.578973461,0.777553535,0.358481622
0.624667595,0.512990172,0.166680207
0.900588134,0.517878035,0.074953858
0.58879499,0.920657165,0.109242014
0.648134157,0.905580996,0.901137858
0.03421409,0.236574189,0.384984398
0.816056702,0.136487962,0.343719192
0.407620131,0.959588318,0.167507479
0.954418945,0.09961306,0.263827038
0.090632233,0.924747945,0.778363397
0.017023733,0.008663715,0.212799482
0.574001645,0.329945296,0.718349866
0.822108245,0.380574569,0.273386555
0.045910784,0.497703261,0.776898202
0.286867203,0.818697837,0.276597853
0.147325159,0.630311863,0.072204313
0.434566533,0.824686203,0.080826882
0.047811211,0.172081111,0.847079977
0.427188261,0.955409892,0.379716788
0.200888454,0.609284781,0.804696251
0.619158938,0.694699511,0.046463499
0.357556331,0.248324497,0.631106459
0.322905052,0.015144945,0.901637453
0.502589131,0.628097476,0.6245095
0.27700954,0.048269044,0.859761612
0.274538334,0.231206813,0.476402052
0.925897792,0.9388468,0.794790839
0.647382909,0.03857694,0.297211046
0.275887003,0.339956874,0.362183592
0.682049839,0.422314662,0.853955498
0.754153321,0.388052253,0.783000642
0.183015265,0.572084002,0.486410056
0.024319774,0.711854441,0.99980158
0.680364403,0.200978603,0.915748246
0.270284384,0.133224393,0.781211161
0.276496625,0.911088206,0.819209039
0.016816579,0.47656291,0.959959346
0.347400482,0.501330259,0.254265712
0.59776759,0.11657451,0.006169469
0.804962986,0.468240242,0.420483616
0.74254955,0.180105992,0.032714924
0.874552855,0.785829872,0.371189549
0.919642851,0.293739753,0.345081784
0.037069852,0.720370098,0.050935679
0.109556959,0.669345497,0.522555551
0.271732749,0.486929568,0.121982058
0.354532959,0.874082486,0.830245021
0.808772549,0.707739007,0.379129248
0.54613838,0.704347297,0.818983555
0.738588651,0.97899141,0.867538711
0.755864644,0.159855863,0.538637049
0.245122872,0.369329846,0.499389313
0.790964295,0.952485306,0.600385086
0.737356362,0.292368082,0.424042713
0.097653818,0.966638968,0.498130241
0.6200494,0.092215603,0.110585243
0.117515526,0.479618575,0.439342107
0.151899733,0.35435133,0.036764383
0.985818264,0.461872644,0.968202579
0.214100584,0.828247965,0.405628842
0.043743793,0.253762884,0.943177514
0.139596307,0.045884813,0.549996477
0.32837289,0.744958979,0.784681619
0.097349203,0.310398131,0.528934182
0.544927742,0.694113951,0.564887258
0.147538177,0.206316341,0.901848506
0.297057617,0.595464773,0.024723948
0.89187718,0.099757518,0.281464183
0.357503736,0.103334346,0.821283244
0.892630471,0.530103372,0.060579214
0.814894144,0.388164927,0.576530545
0.579100078,0.430414514,0.56987405
0.831956014,0.767016314,0.496684798
0.089704722,0.090124379,0.761795619
